읍면동,승용일반형-국산(저속전기),승용일반형-국산(전기),승용일반형-외산(저속전기),승용일반형-외산(전기),승용겸 화물-국산(저속전기),승용겸화물-국산(전기),승용다목적형-국산(저속전기),승용다목적형-국산(전기),승용기타형-국산(저속전기),승용기타형-국산(전기),기준일자
강남동,0,39,0,72,0,1,0,296,0,24,2024-11-14
교동,0,6,0,4,0,0,0,19,0,1,2024-11-14
근화동,0,12,0,14,0,0,0,69,0,7,2024-11-14
남면,0,1,0,0,0,0,0,10,0,2,2024-11-14
남산면,0,4,0,6,0,0,0,23,1,4,2024-11-14
동내면,0,38,0,55,0,0,0,242,0,35,2024-11-14
동면,0,42,0,29,0,0,0,218,1,29,2024-11-14
동산면,0,3,0,2,0,0,0,13,0,4,2024-11-14
북산면,0,1,0,0,0,0,0,6,0,1,2024-11-14
사북면,0,2,0,1,0,0,0,14,0,2,2024-11-14
서면,0,8,0,8,0,1,0,34,0,4,2024-11-14
석사동,0,40,0,43,0,1,0,249,0,27,2024-11-14
소양동,0,32,0,9,0,0,0,93,0,12,2024-11-14
신동면,0,11,0,1,0,0,0,30,0,4,2024-11-14
신북읍,0,13,0,9,0,0,0,61,2,10,2024-11-14
신사우동,0,37,0,42,0,0,0,258,0,37,2024-11-14
약사명동,0,8,0,15,0,0,0,62,1,5,2024-11-14
조운동,0,2,0,2,0,0,0,6,0,2,2024-11-14
퇴계동,0,80,0,81,0,0,0,458,2,81,2024-11-14
효자1동,0,7,0,8,0,0,0,48,0,9,2024-11-14
효자2동,0,13,0,100,0,0,0,98,0,37,2024-11-14
효자3동,0,6,0,15,0,0,0,66,0,38,2024-11-14
후평1동,0,20,0,10,0,0,0,56,1,9,2024-11-14
후평2동,0,17,0,17,0,0,0,93,0,11,2024-11-14
후평3동,0,43,0,23,0,0,0,167,0,18,2024-11-14
